Unnamed: 0_level_0,Brain areas,Hemi,Voxels,BA,MNI coordinates,MNI coordinates,MNI coordinates,T value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,x,y,z,Unnamed: 8_level_1
Global sFCD,Global sFCD,MDD<HCs,MDD<HCs,MDD<HCs,MDD<HCs,MDD<HCs,MDD<HCs,MDD<HCs
Cluster 1,Medial prefrontal cortex,L/R,488,10/11,−3,39,−21,−5.759
,Anterior cingulate cortex,L,,,,,,
Cluster 2,Posterior cingulate cortex,L/R,254,31,3,−45,27,−4.117
,Precuneus,L/R,,,,,,
Contralateral sFCD,Contralateral sFCD,MDD<HCs,MDD<HCs,MDD<HCs,MDD<HCs,MDD<HCs,MDD<HCs,MDD<HCs
Cluster 1,Medial prefrontal cortex,L/R,440,11,−3,36,−21,−5.713
,Anterior cingulate cortex,L,,,,,,
Cluster 2,Posterior cingulate cortex,L/R,262,23/31,3,−45,27,−4.303
,Precuneus,L/R,,,,,,
Ipsilateral sFCD,Ipsilateral sFCD,MDD<HCs,MDD<HCs,MDD<HCs,MDD<HCs,MDD<HCs,MDD<HCs,MDD<HCs
Cluster 1,Medial prefrontal cortex,L/R,489,10/11,−3,39,−24,−5.755
,Anterior cingulate cortex,L,,,,,,
Cluster 2,Posterior cingulate cortex,L/R,215,31,12,−51,21,−4.041
,Precuneus,L/R,,,,,,
