Group,Anatomical region,Peak MNI coordinate,Unnamed: 3,Unnamed: 4,k,Z
Seed,,x,y,z,,
BPL,BPL,BPL,BPL,BPL,BPL,BPL
Amygdala Seeds,L. Amygdala,−18,−4,−8,"7,154",Inf
Amygdala Seeds,L. Precuneus,−10,−46,38,80,3.75
Amygdala Seeds,R. Middle Cingulate Gyrus???,6,−4,20,106,−4.06
Calcarine Cortex Seeds,L. Calcarine Cortex,−4,−48,4,"8,663",6.85
Calcarine Cortex Seeds,R. Middle Frontal Gyrus???,28,−2,42,97,4.8
Calcarine Cortex Seeds,L. Postcentral Gyrus,−24,−20,46,167,4.73
Calcarine Cortex Seeds,L. Orbitofrontal Cortex Superior,−8,34,−16,95,4.56
Calcarine Cortex Seeds,L. Insula,−16,4,−6,120,−4.22
Calcarine Cortex Seeds,R. Posterior Cingulate Gyrus???,14,−28,16,167,−4.9
Heschl's Gyrus Seeds,L. Insula,−24,−12,4,1851,7.57
Heschl's Gyrus Seeds,R. Heschl's Gyrus,28,−16,8,1594,7.32
Heschl's Gyrus Seeds,R. Precuneus,12,−32,26,83,−4.25
Heschl's Gyrus Seeds,R. Middle Temporal Gyrus,36,−46,4,295,−4.29
APL,APL,APL,APL,APL,APL,APL
Amygdala Seeds,L. Insula,−16,6,−6,"8,659",Inf
Amygdala Seeds,L. Supramarginal Gyrus,−32,−26,22,96,−3.76
Amygdala Seeds,L. Middle Cingulate Gyrus,0,−20,18,161,−4.09
Amygdala Seeds,R. Superior Temporal Gyrus???,48,−20,8,83,−4.2
Amygdala Seeds,L. Inferior Temporal Gyrus,−32,−10,−18,77,−4.86
Calcarine Cortex Seeds,R. Lingual Gyrus,4,−50,−2,"8,973",6.46
Calcarine Cortex Seeds,L. Superior Parietal Gyrus,−16,−30,44,1561,4.85
Calcarine Cortex Seeds,L. Cerebellum,−4,−38,−18,63,4.13
Calcarine Cortex Seeds,L. Superior Frontal Gyrus,−8,40,16,143,3.96
Calcarine Cortex Seeds,R. Orbitofrontal Cortex Superior,10,34,−6,89,3.78
Calcarine Cortex Seeds,L. Rectus Gyrus???,−2,24,−22,68,3.7
Calcarine Cortex Seeds,R. Postcentral Gyrus???,20,−28,20,69,−3.96
Calcarine Cortex Seeds,R. Insula,24,−2,12,217,−4.34
Calcarine Cortex Seeds,L. Angular Gyrus???,−36,−52,22,81,−4.44
Calcarine Cortex Seeds,L. Inferior Frontal Gyrus Opercular???,−22,−2,16,114,−4.57
Heschl's Gyrus Seeds,R. Rolandic Operculum,26,−16,12,"2,871",Inf
Heschl's Gyrus Seeds,L. Heschl's Gyrus,−26,−16,10,"2,577",Inf
Heschl's Gyrus Seeds,R. Inferior Temporal Gyrus,26,−16,−18,105,−4.05
