Network-seed,Brain region (AAL),Voxels,"Peak MNI coordinate (x, y, z)",T-value
DAS,Temporal_Mid_R,"1,354","(51, −60, 0)",5.49
DAS,Occipital_Inf_L,895,"(−18, −99, −9)",5.44
DAS,Precuneus_R,190,"(15, −30, 12)",5.56
DAS,ParaHippocampal_R,103,"(36, −18, −24)",4.98
DAS,Parietal_Sup_R,80,"(24, −51, 57)",4.08
DMN,Precuneus_R,"1,973","(15, −54, 39)",5.73
DMN,Angular_L,603,"(−42, −72, 36)",6.01
DMN,Calcarine_R,427,"(15, −99, 3)",5.38
DMN,Angular_R,370,"(48, −66, 36)",5.73
DMN,Temporal_Mid_L,77,"(−63, −18, −15)",4.50
DMN,Frontal_Sup_Medial_L,76,"(−6, 33, 63)",3.96
DMN,Cerebellum_9_R,75,"(3, −54, −48)",5.27
ECN (L),Temporal_Mid_L,431,"(−66, −39, −12)",5.99
ECN (L),Frontal_Mid_L,361,"(−27, 45, 12)",5.61
ECN (L),Occipital_Mid_L,226,"(−27, −99, 6)",5.21
ECN (L),Frontal_Mid_L,206,"(−45, 18, 39)",5.13
ECN (L),Temporal_Inf_R,200,"(60, −57, −9)",5.88
ECN (L),Cerebellum_Crus1_R,126,"(36, −63, −33)",5.75
ECN (L),Precuneus_L,89,"(−6, −51, 18)",4.93
ECN (R),Temporal_Inf_R,372,"(60, −54, −15)",5.95
ECN (R),Calcarine_L,200,"(−6, −93, 9)",5.17
ECN (R),Caudate_R,139,"(18, −6, 27)",7.78
ECN (R),Cerebellum_8_R,127,"(27, −66, −51)",4.75
ECN (R),Frontal_Inf_Tri_R,84,"(45, 36, 6)",4.79
Motor dorsal (L),Angular_L,"2,055","(−48, −51, 33)",5.84
Motor dorsal (L),Hippocampus_L,182,"(−18, −12, 27)",6.83
Motor dorsal (L),Precuneus_R,122,"(9, −48, 9)",4.17
Motor dorsal (L),Temporal_Inf_L,84,"(−42, −33, −24)",4.28
Motor dorsal (L),Precentral_L,76,"(−21, −12, 78)",3.95
Motor dorsal (R),Cuneus_R,"2,423","(24, −84, 45)",5.44
Motor dorsal (R),Precuneus_R,205,"(6, −51, 15)",5.10
Motor ventral (L),Angular_L,429,"(−45, −54, 30)",4.55
Motor ventral (L),Occipital_Mid_L,190,"(−27, −96, 0)",4.64
Motor ventral (L),Putamen_L,154,"(−18, −15, 27)",6.25
Motor ventral (L),Temporal_Inf_L,134,"(−45, −42, −24)",5.15
Motor ventral (L),Rolandic_Oper_L,90,"(−39, −18, 18)",5.02
Motor ventral (L),Cerebellum_8_L,83,"(−12, −60, −51)",4.91
Motor ventral (R),Occipital_Mid_R,189,"(33, −93, 0)",4.55
Motor ventral (R),Temporal_Sup_L,99,"(−57, −9, 6)",−3.18
Motor ventral (R),Temporal_Mid_R,84,"(45, −78, 21)",4.13
Salience (L),Temporal_Mid_L,152,"(−45, −57, 24)",4.91
Salience (L),Occipital_Mid_R,144,"(30, −87, 33)",5.20
Salience (L),Angular_L,77,"(−48, −66, 45)",4.51
Salience (L),Calcarine_L,74,"(−9, −96, −9)",4.67
Salience (R),Temporal_Sup_R,170,"(54, −3, −15)",4.67
Salience (R),Fusiform_R,157,"(42, −30, −24)",5.08
Salience (R),Temporal_Mid_L,132,"(−54, −63, 15)",4.51
Salience (R),Temporal_Mid_R,103,"(63, −54, −33)",4.63
Salience (R),Occipital_Mid_L,75,"(−30, −87, 27)",4.56
Visual primary,Angular_L,"4,195","(54, −66, 24)",6.71
Visual primary,Frontal_Mid_L,375,"(−45, 6, 54)",5.01
Visual primary,Temporal_Inf_L,124,"(−51, −45, −21)",5.82
Visual primary,Fusiform_R,82,"(45, −30, −24)",6.01
Visual secondary,Occipital_Inf_L,"3,849","(−30, −90, −9)",7.55
Visual secondary,Postcentral_L,248,"(−48, −30, 57)",4.57
