Seed region,Area with altered FC,Peak MNI coordinates,Peak MNI coordinates.1,Peak MNI coordinates.2,Cluster size (mm3),Peak T-value,FC direction
,,x,y,z,,,
Right hippocampus,Left precuneus,−6,−51,30,268.0,4.35,PPD > HC
,Left superior frontal gyrus,−24,33,36,104.0,4.03,PPD > HC
Left precuneus,Right hippocampus,26,−5,−23,109.0,4.67,PPD > HC
