Fy→x,AVH group,Non-AVH group,T,P
Hipp.R - Putmen.R,0.94,1.78,−2.46,0.02*
STG.L - Broca.R,2.81,1.64,2.57,0.02*
Broca.L - Putmen.R,1.25,2.23,−2.39,0.02*
