Unnamed: 0,Controls,bvFTD,Statistics,P values
Sex???,F = 33M = 27,F = 25M = 19,0.06,0.79
Age???,63.91 (7.63),66.72 (8.33),3.1,0.08
Education???,14.83 (4.27),13.75 (4.06),1.62,0.2
