Node,MNI,Unnamed: 2,Unnamed: 3,Node.1,MNI.1,Unnamed: 6,Unnamed: 7,R,p
Insula_R,34,15,–6,vPCC_R,7,–18,30,0.512,0.00045
Insula_R,34,15,–6,dACC_R,7,30,17,0.49,0.00086
Insula_R,35,19,8,Putamen_L,–10,4,–6,0.487,0.00093
