Seed,Target(s),Voxels,Peak MNI coordinates,Peak t statistic,p (FDR),Direction of FC change relative to controls
DMN,DMN,DMN,DMN,DMN,DMN,DMN
Lateral parietal R,Precuneus,226,10 −52 74,−4.77,.000014,Hypoconnectivity
TPN,TPN,TPN,TPN,TPN,TPN,TPN
DLPFC R,Lateral occipital cortex R,66,52 −62 −6,3.95,.043118,Hyperconnectivity
Insula R,Lateral occipital cortex RLateral occipital cortex LCingulate gyrus,922558,−34 −86 −1638 −78 −10−4 −10 46,−5.28,.015997.023159.045050,Hypoconnectivity
SN,SN,SN,SN,SN,SN,SN
Supramarginal gyrus R,Lateral occipital cortex RSuperior parietal lobule R,69110,40 −78 1624 −54 56,4.49,.013429.013429,Hyperconnectivity
