Location in AAL (19) map,Brain area,Mean ± SD,Mean ± SD.1,T,P-value
Cingulum_Mid_right,Median cingulate and paracingulate gyri,−0.0271 ± 0.1692,−0.1726 ± 0.1136,2.141,0.048
Putamen_right,Right putamen,0.0511 ± 0.1059,−0.0920 ± 0.1345,2.309,0.023
Vermis_1_2,Cerebellar vermis,0.0930 ± 0.2325,−0.1374 ± 0.1917,2.295,0.036
Vermis_3,Cerebellar vermis,0.0692 ± 0.1768,−0.0972 ± 0.1398,2.216,0.042
