ROI pairs,Estimate (SE),Stat.,P-value,Adj. P.,CI
IFG_orbitalis_L: MTG_L,−0.33 (0.09),−3.891,0.0,0.008,"[−0.50, −0.16]"
IFG_triangularis_L: MTG_L_pole,−0.35 (0.10),−3.368,0.001,0.058,"[−0.56, −0.15]"
IFG_opercularis_L: IFG_orbitalis_R,−0.32 (0.12),−2.622,0.009,0.665,"[−0.57, −0.08]"
IFG_triangularis_L: ITG_L,−0.15 (0.07),−2.221,0.026,1.0,"[−0.29, −0.02]"
IFG_opercularis_R: SMG_L,−0.17 (0.08),−2.086,0.037,1.0,"[−0.33, −0.01]"
