Trained,tDCS (n = 12),Sham (n = 12),Additional gain tDCS over sham,P-value for additional gain tDCS over sham
Before,40.83 ± 26.85,53.24 ± 26.61,–,–
After,84.86 ± 27.29,76.25 ± 25.93,–,–
Change,44.03 ± 24.44,23.00 ± 14.44,"21.03 [3.80, 38.25]",0.020 (df = 17.85)
P-values for changes,6.33e-05,1.82e-04,–,–
