Unnamed: 0_level_0,Unnamed: 1_level_0,MNI coordinate)mm(,MNI coordinate)mm(,MNI coordinate)mm(,Unnamed: 5_level_0,Unnamed: 6_level_0
Region,Hemisphere,X,Y,Z,Voxel,Z value
TPJ,L,–62,–30,18,336,–4.56
TPJ,R,58,–26,20,333,–5.25
THA,R,8,0,0,237,–4.79
MCC,L,–2,–6,36,180,–4.22
ORB,R,28,16,–22,156,–4.61
