Approach,Accuracy,Precision,Recall,Specificity,F1
DFCP,−0.8845,−0.9412,−0.7011,−0.9349,−0.8773
sFC Strength + DFCP,−0.9136,−0.9383,−0.7280,−0.9438,−0.8997
