Method,Emb.dim,Parameter,PT (%),Accuracy (%),Sensitivity (%),Specificity (%)
Correlation,-,-,40.0,71.0,77.4,64.8
,,,,,,
ISOMAP,p = 2,k = 15,45.0,76.6,80.3,72.9
ISOMAP,p = 3,k = 15,35.0,78.6,87.3,70.3
ISOMAP,p = 4,k = 12,40.0,74.5,81.7,67.6
ISOMAP,p = 5,k = 17,45.0,76.6,81.7,71.6
