Method,Emb.dim,Parameter,PT (%),Accuracy (%),Sensitivity (%),Specificity (%)
Correlation,-,-,30.0,73.1,77.4,68.9
,,,,,,
ISOMAP,p = 2,k = 14,40.0,75.9,83.1,68.9
ISOMAP,p = 3,k = 15,35.0,79.3,85.9,72.9
ISOMAP,p = 4,k = 12,40.0,76.6,85.9,67.6
ISOMAP,p = 5,k = 18,45.0,75.9,80.3,71.6
