Unnamed: 0_level_0,Unnamed: 1_level_0,Real-time delay discounting,Real-time delay discounting,Real-time delay discounting
Unnamed: 0_level_1,Unnamed: 1_level_1,b,t,p
F2-S2 FC,Mean FD,− .11,− 1.72,0.088
F2-S2 FC,GAI,− .01,− .1.63,0.105
F2-S2 FC,S2-F2 FC,.82,2.73,0.007
F2-S2 FC,Dx,.17,3.38,0.001
F2-S2 FC,Sex,.08,1.85,0.067
F2-S2 FC,S2-F2 FC × Dx,− 1.16,− 3.12,0.002
F2-S2 FC,S2-F2 FC × Sex,− .73,− 2.24,0.027
F2-S2 FC,Dx × Sex,− .20,− 3.16,0.002
F2-S2 FC,S2-F2 FC × Dx × Sex,1.34,3.14,0.002
F2-S2 FC,R2,.15,,
F2-S2 FC,F,2.5,,
F3-S2 FC,mean FD,− .09,− 1.51,0.132
F3-S2 FC,GAI,− .01,− 1.87,0.064
F3-S2 FC,S2-F3 FC,− .69,− 2.58,0.011
F3-S2 FC,Dx,.52,3.15,0.002
F3-S2 FC,Sex,.36,2.91,0.004
F3-S2 FC,S2-F3 FC × Dx,.98,2.55,0.012
F3-S2 FC,S2-F3 FC × Sex,.75,2.57,0.011
F3-S2 FC,Dx × Sex,− .76,− 4.07,0.0001
F3-S2 FC,S2-F3 FC × Dx × Sex,− 1.56,− 3.57,0.0005
F3-S2 FC,R2,.18,,
F3-S2 FC,F,3.0,,
