Censoring threshold (mm),Before FIX,Before FIX,After FIX,After FIX
Censoring threshold (mm),r,p,r,p
0.5,-0.71,2.6 × 10-16,-0.42,3.7 × 10-5
0.4,-0.64,5.5 × 10-12,-0.31,0.0031
0.3,-0.57,1.5 × 10-8,-0.29,0.0074
0.25,-0.47,5.4 × 10-5,-0.22,0.076
