Region,Brodmann Partition,Clusters,Peak MNI (Peak Coordinates),r
Positive correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation
Left anterior central gyrus,6,41,–45 (–9 33),0.74
Left precuneus,7,50,–3 (–78 33),0.70
Negative correlation,Negative correlation,Negative correlation,Negative correlation,Negative correlation
Right posterior cerebellar lobe,/,76,30 (–60 –57),−0.76
