Region,Brodmann Area,Clusters,Peak MNI (Peak Coordinates),t
Smokers > nonsmokers,Smokers > nonsmokers,Smokers > nonsmokers,Smokers > nonsmokers,Smokers > nonsmokers
Right inferior temporal gyrus,20,52,63 (–24 –33),5.06
Left middle frontal gyrus,10,48,–39 (60 9),3.72
Left cingulated gyrus,32,185,–12 (24 39),4.28
Right superior frontal gyrus,8,118,27 (27 39),4.75
Left superior frontal gyrus,8,70,–9 (39 51),4.51
