Node and MNI coordinate,Network,p FDR,t statistic
"Medial prefrontal cortex (1, 55, − 3)–mid frontal gyrus (− 38, 18, 42)Anterior cingulate cortex (0, 22, 35)–frontal pole (26, 52, 8)",DMN,0.04,t (16) = − 4.75
"Medial prefrontal cortex (1, 55, − 3)–mid frontal gyrus (− 38, 18, 42)Anterior cingulate cortex (0, 22, 35)–frontal pole (26, 52, 8)",SN,0.01,t (16) = − 5.51
