Unnamed: 0,Covariance,Correlation,Dimension
Full dimensionality FC matrix,C,r,300 × 300
Diagonal eigenvector matrix of C,Λ,λ,300 × 300
Basis derived by POD of control group FC matrices,W^,w^,300 × 20
Dimensionality reduced FC matrix,C^,r^,300 × 300
Component magnitudes derived by projection on basis,Ψ,P,1 × 20
C^: r^global scalar proportionality,υ,υ,Scalar
C^⋅r^ Pearson correlation over block averages,η,η,Scalar
