Institution,Scanner,Ntot,Nret,Age ± SD,%Female,%Frames retained
San Diego,GE Discovery MR 750,195,187,71.4 ± 4.7,80%,82.1%
WUSM Bay3,Siemens Prisma Fit,166,150,71.3 ± 4.9,76%,84.4%
WUSM CCIR,Siemens Tim Trio,39,38,69.6 ± 3.5,76%,83.8%
total,,400,375,71.2 ± 4.7,78%,83.2%
