Unnamed: 0,MBSR,Exercise,MBSR + +Exercise,Health Ed
N,105.0,95.0,91,84.0
Cognitive score,93.2,93.3,92.7,92.5
Adherence (%),81.6,77.4,"81.8, 72.9",76.7
