Unnamed: 0_level_0,Unnamed: 1_level_0,Predicted ASD,Predicted ASD,Total,Unnamed: 5_level_0,Unnamed: 6_level_0,Predicted sex,Predicted sex,Total
Unnamed: 0_level_1,Unnamed: 1_level_1,Positive,Negative,Total,Unnamed: 5_level_1,Unnamed: 6_level_1,Female,Male,Total.1
True label,Positive,33,12,45,True label,Female,22,11,33
True label,Negative,14,31,45,True label,Male,8,25,33
True label,Total,47,43,90,True label,Total,30,36,66
