Unnamed: 0,"Age, years (M ± SD)",Sex (f/m),"MSL training sessions, n (M ± SD)","WM training sessions, n (M ± SD)"
Group A,30.1 ± 8.8,9/9,12.2 ± 3.75,10.8 ± 3.0
Group B,30.6 ± 8.4,9/9,13.7 ± 3.29,12.0 ± 2.59
Group C,30.1 ± 8.9,9/9,11.7 ± 3.12,12.2 ± 1.96
