ROI,group,pre-test (M±SD),pos-test (M±SD)
R. cerebellar hemispheric VI,control,0.71±0.15,0.74±0.16
R. cerebellar hemispheric VI,experimental,0.73±0.11,0.66±0.11
L. cerebellar hemispheric VIII,control,0.44±0.07,0.46±0.08
L. cerebellar hemispheric VIII,experimental,0.42±0.08,0.39±0.06
