Target region,MNI center,t,Uncorrected,FDR-corrected
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,p-value,p-value
Left accumbens,"(−9,11,−7)",,,
Right inferior frontal gyrus,"(52,28,8)",−6.37,0.0,0.0002
Anterior cingulate gyrus,"(1,18,24)",−4.05,0.0004,0.0287
Right accumbens,"(9,12,−7)",,,
Anterior cingulate gyrus,"(1,18,24)",−3.94,0.0006,0.0682
