Methods,ACC (%),SEN (%),SPE (%),AUC
KNN,82.07,74.65,89.19,0.7912
RForest,77.93,74.65,81.08,0.8378
NBayes,84.83,83.1,86.49,0.9069
LDA,90.34,87.32,93.24,0.9418
LSVM,93.1,92.96,93.24,0.95
