Methods,Number of selected features,ACC (%),SEN (%),SPE (%)
t-test,153,78.62,80.28,77.03
Lasso,123,83.45,88.73,78.38
GLasso,225,86.21,85.92,86.49
ENet,64,85.52,84.51,86.19
SGLasso,55,93.1,92.96,93.24
