Brain region,Total ratio (%),Subregion,Ratio (%)
CAU,26.81,CAU.L,14.68
CAU,26.81,CAU.R,12.13
ANG,17.42,ANG.L,10.76
ANG,17.42,ANG.R,6.65
THA,15.26,THA.L,7.83
THA,15.26,THA.R,7.44
PCL,12.33,PCL.L,4.7
PCL,12.33,PCL.R,7.63
