Unnamed: 0,ACC (%),AUC (%),F1 (%),SEN (%),SPE (%),PRE (%)
T2DM-NC vs. T2DM-MCI,87.91 ± 1.04,81.99 ± 8.30,73.95 ± 2.54,61.67 ± 4.56,98.06 ± 1.77,93.06 ± 6.36
T2DM-NC vs. NC,80.00 ± 0.83,84.14 ± 3.44,76.24 ± 1.48,75.65 ± 7.28,83.23 ± 6.20,77.58 ± 4.86
T2DM-NC vs. T2DM-MCI and NC,69.39 ± 1.27,80.07 ± 0.76,68.11 ± 0.87,69.39 ± 1.27,78.14 ± 1.33,70.90 ± 1.54
