Brain region,Side,Correction,Size (mm3),MNI coordinate (cluster maxima),MNI coordinate (cluster maxima),MNI coordinate (cluster maxima),t-value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,x,y,z,Unnamed: 7_level_1
Precuneus,R,PT + TFCE,14,15,−66,45,5.7677
Precuneus,R,GRF,22,15,−66,45,5.7677
Precuneus,R,FDR,7,15,−66,45,5.7677
Middle Frontal Gyrus,L,GRF,14,−42,15,33,5.2052
Hippocampus,L,GRF,20,−15,−12,−15,−4.4594
