Brain region,Side,Correction,Size (mm3),MNI coordinate (cluster maxima),MNI coordinate (cluster maxima),MNI coordinate (cluster maxima),t-value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,x,y,z,Unnamed: 7_level_1
Precuneus,R,GRF,11,15,−66,45,5.8517
,,FDR,3,16,−66,46,5.8517
Middle Frontal Gyrus,L,GRF,11,−41,19,36,4.1707
,,FDR,3,−36,13,47,5.5239
Superior Frontal Gyrus,L,FDR,5,−18,7,57,6.3915
