Seed,Regions,Side,MNI Coordinate,MNI Coordinate,MNI Coordinate,Voxel,z-value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,x,y,z,Unnamed: 6_level_1,Unnamed: 7_level_1
Left dorsal caudate,IFG,L,−32,24,−10,56,−3.42
,CC,L,−2,−2,44,28,−3.7
,ACC,R,4,34,16,24,−3.01
Left ventral caudate,IFG,L,−28,22,−12,59,−3.19
,CC,L,−4,−16,46,67,−3.75
Right dorsal caudate,ACC,R,4,36,16,82,−3.8
,IFG,L,−30,24,−10,52,−3.76
