Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,MNI coordinates,MNI coordinates,MNI coordinates,Unnamed: 6_level_0,Unnamed: 7_level_0
Connected regions,BA,Peak areas,X,Y,Z,t-value,Voxels
"Seed point (−24, −3, −27)",,,,,,,
,13,INS.Lb,−30,−33,9,3.7447,38.0
,9/10,Bilateral PFCb,0,54,33,3.9359,39.0
,10,SFG.Rb,3,−6,78,4.1754,78.0
,17,IOG.Lb,−18,−99,−15,3.6212,29.0
"Seed point (−12, −99, 12)",,,,,,,
,19,MOG.La,−21,−72,0,−4.6295,196.0
,18,MOG.Ra,18,−75,9,−4.59,183.0
,10,SFG.Rb,21,63,18,−4.3991,25.0
,2,IPG.La,−39,−30,36,−3.9269,122.0
,6,MFG.Lb,−33,3,54,−3.8833,51.0
,5,SFG.Rb,6,−42,63,−3.6806,40.0
"Seed point (9, −96, 12)",,,,,,,
,20,MTG.Ra,60,−45,−24,−4.1129,149.0
,47,IFG.Rb,42,30,−21,−4.0295,44.0
,17,MOG.La,−18,−102,−3,−4.0609,168.0
,18,MOG.Rb,18,−102,−9,−3.7911,76.0
,10,SFG.Ra,18,57,21,−4.2723,127.0
,2,IPG.Lb,−39,−30,36,−3.8902,70.0
,9,MFG.Rb,36,18,42,−4.167,44.0
,7,SPG.Lb,−30,−57,66,−4.299,77.0
