Unnamed: 0,# of features
Anatomical MRI features,
Grey matter density,48
Subcortical volumes,14
Cortical thickness,68
Diffusion MRI features,
Fractional anisotropy,20
Mean diffusivity,20
Axial diffusivity,20
Radial diffusivity,20
resting state fMRI features,
Functional connectivity,"2,415"
Amplitude of low frequency fluctuations,"139,712"
