Unnamed: 0,Median (%),Mean (%),t-score,p-value (one-tailed)
Ising T,3.76,6.61,4.93,9 × 10−5
LZW data,0.5,1.0,2.3,0.04
LZW synth,2.13,2.21,5.46,9 × 10−5
BDM data,1.83,2.1,1.63,0.04
BDM synth,2.51,2.28,5.18,2 × 10−4
