Anatomical,Hemisphere,Cluster voxels,"MNI(x,y,z)"
Ventrolateral amygdala,L,36,"(−27, −3, −21)"
Ventrolateral amygdala,R,45,"(33, 0, −21)"
Medial amygdala,L,20,"(−15, −8, −18)"
Medial amygdala,R,26,"(18, −9, −18)"
Dorsal amygdala,L,18,"(−24, −6, −12)"
Dorsal amygdala,R,17,"(18, 0, −18)"
