Group,Measure,Prediction,With pos-edge matrix,With neg-edge matrix
Group,Measure,Prediction,"(R, p-value)","(R, p-value)"
ST,mRS,1 → 2,"(0.2866, 0.0902)","(0.3925, 0.0179)*0.0078#"
ST,mRS,1 → 3,"(−0.2090, 0.2212)","(0.3746, 0.0244)"
ST,mRS,2 → 3,"(0.1188, 0.5035)","(0.2050, 0.2447)"
ST,BI,1 → 2,"(0.3157, 0.0607)","(0.0967, 0.5746)"
ST,BI,1 → 3,"(0.4451, 0.0065)*0.0055#","(−0.0209, 0.9038)"
ST,BI,2 → 3,"(0.2391, 0.1732)","(−0.2716, 0.1203)"
ST.L,mRS,1 → 2,"(−0.2020, 0.3439)","(−0.1046, 0.6266)"
ST.L,mRS,1 → 3,"(−0.4158, 0.0433)","(−0.3014, 0.1523)"
ST.L,mRS,2 → 3,"(−0.2856, 0.1866)","(0.0435, 0.8439)"
ST.L,BI,1 → 2,"(−0.1021, 0.6350)","(−0.3521, 0.0915)"
ST.L,BI,1 → 3,"(0.2629, 0.2146)","(−0.06, 0.7808)"
ST.L,BI,2 → 3,"(0.2069, 0.3436)","(−0.5329, 0.0088)"
ST.R,mRS,1 → 2,"(−0.2422, 0.4483)","(−0.0207, 0.9490)"
ST.R,mRS,1 → 3,"(0.1735, 0.5898)","(0.3788, 0.2247)"
ST.R,mRS,2 → 3,"(0.6633, 0.0261)*0.0116#","(0.1432, 0.6745)"
ST.R,BI,1 → 2,"(−0.0715, 0.8252)","(0.2270, 0.478)"
ST.R,BI,1 → 3,"(−0.4085, 0.1874)","(−0.1573, 0.6254)"
ST.R,BI,2 → 3,"(−0.3664, 0.2677)","(−0.7259, 0.0114)"
BS,mRS,1 → 2,"(−0.3600, 0.1558)","(−0.5943, 0.0119)"
BS,mRS,1 → 3,"(−0.8911, < 0.0001)","(−0.5213, 0.0559)"
BS,mRS,2 → 3,"(−0.4788, 0.0979)","(−0.4788, 0.0979)"
BS,BI,1 → 2,"(−0.1243, 0.6346)","(0.3490, 0.1698)"
BS,BI,1 → 3,"(−0.2576, 0.3739)","(−0.1995, 0.4941)"
BS,BI,2 → 3,"(−0.5284, 0.0634)","(−0.8279, 0.0005)"
