Seed,Cluster labels,Voxels (n),Volume (μl),BA,Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,Mean Fisher's z,Mean Fisher's z,Mean Fisher's z,Mean Fisher's z,Mean Fisher's z
Seed,Cluster labels,Voxels (n),Volume (μl),BA,Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,PTSD group,PTSD group,PTSD group,Control group,Control group
Seed,Cluster labels,Voxels (n),Volume (μl),BA,x,y,z,Mean,SD,SD.1,Mean,SD
Left SFA,LMOG,44,1886.5,19,− 29,− 89,21,− 0.1103*,0.1123,0.1123,0.1955,0.1049
Left SFA,LLG,116,4973.5,36,− 17,− 43,− 7,− 0.0588*,0.0845,0.0845,0.3175,0.1595
Right SFA,RFG,44,1886.5,37,28,− 59,− 17,− 0.1199*,0.1064,0.1064,0.1331,0.096
