Side,Brain regions,Brodmann area,Cluster size (mm3),Peak MNI coordinates (x y z),Peak t-value
Left,Fusiform gyrus/Inferior temporal gyrus,20,"1,890",−42 −15 −39,4.85
Left,Middle temporal gyrus/Angular gyrus,39,"2,754",−60 −63 18,4.73
Right,Inferior opercular-frontal gyrus/Superior temporal gyrus,44/48,"1,620",57 15 12,−4.59
