Brain region,"MNI (x, y, z)",Cluster size,Tmax,p FDR
Left IFG,"−38,22,16",312,7.5,6e-05
Left FP,"−36,54,14",99,5.01,0.026387
Right MFG,"42,26,24",85,5.6,0.036207
Right FP,"38,62,10",102,5.36,0.026387
