Unnamed: 0,Superior corona radiata,Superior corona radiata.1,Posterior corona radiata,Posterior corona radiata.1,Corpus callosum,Corpus callosum.1,Posterior thalamic radiations,Posterior thalamic radiations.1,p value
Mean volume mm3,5.2,5.2,4.7,4.7,2.7,2.7,6.96,0.3,
Range,2–43,2–43,1–22,1–22,1–14,1–14,1–34,,
SD,10.4,10.4,7.1,7.1,4.2,4.2,10.1,,
,Right,Left,Right,Left,Right,Left,Right,Left,
Mean volume mm3,4.31,6.00,4.46,5.00,3.31,2.15,9.31,4.62,0.9
Range,2–19,5–43,6–22,1–16,2–14,1–7,3–34,1–16,
SD,7.84,12.68,7.74,6.71,5.50,2.51,12.81,6.06,
