Brain areas (AAL),MNI coordinate,MNI coordinate,MNI coordinate,Broadmann areas,Cluster size,T Value,P-value
Unnamed: 0_level_1,X,Y,Z,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1
Putamen-R,21,9,12,–,65,4.5684,<0.005
Cingulum-Ant-R,3,39,3,32,34,−4.5165,<0.005
Thalamus-L,−18,−12,12,–,26,4.0979,<0.005
