Seed region,Brain regions,"Peak MNI coordinates x, y, z (mm)",Peak T value,Voxels
NAc.L,PoCG.R,"39, −30, 45",−4.78,53
,SFG.R,"15, −9, 63",−4.70,28
AMYG.L,STG.R,"57, −21, 0",−4.57,33
PHG.L,SMA.R,"6, 0, 48",−4.95,57
