Method,Definition
Pearson’s correlation (PC),(6)Pij=(xi−x¯i)T(xj−x¯j)(xi−x¯i)T(xi−x¯i)(xj−x¯j)T(xj−x¯j)
Sparse representation (SR),(7)Sij=argminSij∑i=1M(∥xi−∑j≠iSijxj∥2+λ∑j≠i∣Sij|)
Mutual Information (MI),"(8)Mij=∑i∑jp(xi,xj)logp(xi,xj)p(xi)p(xj)"
Higher Order Functional Connections (HOFC),(9)Hij=(Pi−P¯i)T(Pj−P¯j)(Pi−P¯i)T(Pi−P¯i)(Pj−P¯j)T(Pj−P¯j)
