Datasets,Method,ACC,SEN,SPE,BAC,PPV,NPV,F1,AUC
UM,PC,56.55%,55.88%,57.14%,56.51%,53.52%,59.46%,54.68%,62.18%
UM,SR,51.72%,50.00%,53.25%,51.62%,48.57%,54.67%,49.28%,52.06%
UM,MI,49.66%,22.06%,74.03%,48.04%,42.86%,51.82%,29.13%,41.75%
UM,HOFC,62.07%,55.88%,67.53%,61.71%,60.32%,63.41%,58.02%,66.12%
UM,Average,60.69%,51.47%,68.83%,60.15%,59.32%,61.13%,55.12%,65.09%
UM,MVJB,63.45%,63.24%,63.64%,63.44%,60.56%,66.22%,61.87%,65.16%
UM,FC-kNN,65.52%,63.24%,67.53%,65.38%,63.24%,67.53%,63.25%,66.14%
UM,MVS-GCN,68.27%,70.59%,66.23%,68.41%,64.86%,71.83%,67.60%,71.56%
UM,Proposed,71.72%,70.59%,72.73%,71.66%,69.57%,73.68%,70.07%,77.35%
