Pairwise Comparison,p-Value,p<0.05
Proposed vs. PC,3.65×10−2,Yes
Proposed vs. SR,2.64×10−2,Yes
Proposed vs. MI,2.55×10−2,Yes
Proposed vs. HOFC,1.28×10−2,Yes
Proposed vs. Average,2.94×10−2,Yes
Proposed vs. MVJB,1.46×10−2,Yes
Proposed vs. FC-kNN,1.96×10−2,Yes
Proposed vs. MVS-GCN,1.65×10−3,Yes
