Seed to target,Fiber metric,BPD group (N = 46),HC group (N = 44),F,P
ACC_L to Frontal_mid_R,FA,0.35 ± 0.10,0.37 ± 0.02,–7.85,<0.01
,MD (×10–3),0.89 ± 0.03,0.91 ± 0.05,–3.04,0.08
,Probability (×10–1),0.11 ± 0.16,0.09 ± 0.11,0.23,0.6
ACC_L to Temporal_mid_L,FA,0.31 ± 0.01,0.32 ± 0.01,0.11,0.74
,MD (×10–3),0.81 ± 0.02,0.81 ± 0.02,–2.63,0.11
,Probability (×10–2),0.02 ± 0.42,0.02 ± 0.06,–1.52,0.22
