Cluster,P_FWE–corr,Brain region/,Voxels,t,MNI
Unnamed: 0_level_1,Unnamed: 1_level_1,fasciculus,Unnamed: 3_level_1,Unnamed: 4_level_1,coordinates
Unnamed: 0_level_2,Unnamed: 1_level_2,Unnamed: 2_level_2,Unnamed: 3_level_2,Unnamed: 4_level_2,"(X, Y, Z)"
ACC_L as a seed,ACC_L as a seed,ACC_L as a seed,ACC_L as a seed,ACC_L as a seed,ACC_L as a seed
FC↑ Cluster1,0.041,Frontal_Mid_R,42,4.85,"27, 36, 24"
FC↓ Cluster2,0.037,Temporal_Mid_L,43,–5.41,"−45, −45, 0"
FC↓ Cluster3,0.026,Corpus callosum,47,–4.85,"6, 3, 24"
ACC_R as a seed,ACC_R as a seed,ACC_R as a seed,ACC_R as a seed,ACC_R as a seed,ACC_R as a seed
FC↓ Cluster1,0.013,Corpus callosum,56,–5.13,"6, 3, 24"
