Parameters,Brain regions,MNI peak coordinates,Cluster size,T-value
Unnamed: 0_level_1,Unnamed: 1_level_1,"(x, y, z)",Unnamed: 3_level_1,Unnamed: 4_level_1
ReHo,SOG.L,"−24, −99, 24",72.0,−4.54
DC,SOG.L,"−18, −99, 24",70.0,–4.19
