"Age, years",54.2 (28–76)
"Sex, female/male",54/23
Educationa,5.29 (1–7)
MMSEb,29.3 (25–30)
FABb,16.8 (11–18)
NPIb,1.6 (0–18)
FRSb,96.4 (73–100)
