Networks,Brain regions,MNI coordinate,MNI coordinate,MNI coordinate,BA,Cluster size,t score
Networks,Brain regions,x,y,z,BA,Cluster size,t score
,Decreased: (AD_before > AD_after) > (HC_before > HC_after),Decreased: (AD_before > AD_after) > (HC_before > HC_after),Decreased: (AD_before > AD_after) > (HC_before > HC_after),Decreased: (AD_before > AD_after) > (HC_before > HC_after),Decreased: (AD_before > AD_after) > (HC_before > HC_after),Decreased: (AD_before > AD_after) > (HC_before > HC_after),Decreased: (AD_before > AD_after) > (HC_before > HC_after)
lFPN,Right cerebellum crus I,36,-63,39,—,111,5.37
lFPN,Left IFG,-45,30,-15,47,48,5.81
lFPN,Left AG,-39,-63,33,39,90,6.42
,,,,,,,
,Increased: (AD_after > AD_before) > (HC_after > HC_before),Increased: (AD_after > AD_before) > (HC_after > HC_before),Increased: (AD_after > AD_before) > (HC_after > HC_before),Increased: (AD_after > AD_before) > (HC_after > HC_before),Increased: (AD_after > AD_before) > (HC_after > HC_before),Increased: (AD_after > AD_before) > (HC_after > HC_before),Increased: (AD_after > AD_before) > (HC_after > HC_before)
lFPN,Left MFG,-24,18,51,8,30,5.68
VN,Right LG,15,-72,-6,18,29,4.73
