Brain regions,BA,Voxels,MNI,F values
"Inferior frontal gyrus, pars triangularis (R)",BA45,113,"48, 30, 6",9.795
Cerebellar Crus I (L),/,106,"−43, −60, −36",7.214
Middle frontal gyrus (R),BA48,115,"42, 27, 24",11.466
Orbitofrontal cortex (L),BA38,96,"−42, 21, −12",12.213
Thalamus (R),,97,"12, −12, 3",18.755
