Unnamed: 0,Left V1,Right V1,Left IPS,Right IPS,Left FEF,Right FEF
Left V1,/,,,,,
Right V1,F = 0.244P_adj = 1,/,,,,
Left IPS,F = 2.565P_adj = 1,F = 2.918P_adj = 1,/,,,
Right IPS,F = 0.390P_adj = 1,F = 0.520P_adj = 1,F = 0.143P_adj = 1,/,,
Left FEF,F = 4.703P_adj = 0.195,F = 5.358P_adj = 0.105,F = 0.079P_adj = 1,F = 0.552P_adj = 1,/,
Right FEF,F = 6.614P_adj = 0.039,F = 6.897P_adj = 0.033,F = 2.981P_adj = 0.953,F = 6.256P_adj = 0.042,F = 0.483P_adj = 1,/
