Unnamed: 0_level_0,Short-term gains,Short-term gains,Unnamed: 3_level_0,Long-term gains,Long-term gains,Unnamed: 6_level_0
Unnamed: 0_level_1,ST+,ST–,P-Value,LT+,LT–,P-Value
Training Gains of≪Digit Span≫,Training Gains of≪Digit Span≫,Training Gains of≪Digit Span≫,Training Gains of≪Digit Span≫,Training Gains of≪Digit Span≫,Training Gains of≪Digit Span≫,Training Gains of≪Digit Span≫
N,25,35,,4,56,
Sex,,,0.19???,,,0.62???
Male,12,11,,2,21,
Female,13,24,,2,35,
Age,67.52 ± 5.57,69.97 ± 7.13,0.22???,70.25 ± 3.86,68.85 ± 6.75,0.32???
Education years,15.72 ± 2.28,15.34 ± 2.35,0.45???,16.75 ± 1.25,15.41 ±2.34,0.20???
IQ,115.06 ± 10.24,117.10 ± 9.93,0.44???,116.40 ± 12.39,116.24 ± 9.97,0.83???
