Unnamed: 0_level_0,Short-term gains,Short-term gains,Unnamed: 3_level_0,Long-term gains,Long-term gains,Unnamed: 6_level_0
Unnamed: 0_level_1,ST+,ST–,P-Value,LT+,LT–,P-Value
Training Gains of≪Visual Span≫,Training Gains of≪Visual Span≫,Training Gains of≪Visual Span≫,Training Gains of≪Visual Span≫,Training Gains of≪Visual Span≫,Training Gains of≪Visual Span≫,Training Gains of≪Visual Span≫
N,20,40,,11,49,
Sex,,,0.13???,,,0.13???
Male,5,18,,2,21,
Female,15,22,,9,28,
Age,67.30 ± 5.51,69.77 ± 6.98,0.25???,66.54 ± 6.18,69.49 ± 6.62,0.14???
Education years,15.80 ± 1.93,15.35 ± 2.48,0.78???,15.81 ± 1.66,15.42 ±2.44,0.77???
IQ,117.23 ± 9.18,115.76 ± 10.50,0.57???,120.30 ± 8.41,115.34 ± 10.21,0.10???
