Unnamed: 0,Unnamed: 1,x,y,z
Hemispheres,Hemispheres,Hemispheres,Hemispheres,Hemispheres
Right,ROI 1,37,33,32
,ROI 2,30,43,23
Left,ROI 3,−37,45,21
,ROI 4,−46,19,22
