Unnamed: 0_level_0,Center Mainz,Center Mainz,Unnamed: 3_level_0,Center Rostock,Center Rostock,Unnamed: 6_level_0,Total sample,Total sample,Unnamed: 9_level_0
Unnamed: 0_level_1,Experimental,Control,P-Value,Experimental,Control,P-Value,Experimental,Control,P-Value
Unnamed: 0_level_2,N = 26,N = 8,Unnamed: 3_level_2,N = 34,N = 11,Unnamed: 6_level_2,N = 60,N = 19,Unnamed: 9_level_2
Sex,,,0.70???,,,0.95???,,,0.77???
Male,11,4,,12,4,,23,11,
Female,15,4,,22,7,,37,8,
Age,69.39 ± 6.03,70.2 ± 7.35,0.78???,68.61 ± 7.07,67.54 ± 6.34,0.77???,68.95 ± 6.59,68.68 ± 6.72,0.87???
Education years,15.27 ± 3.02,14.9 ± 3.8,0.97???,15.68 ± 1.60,14.54 ± 2.59,0.28???,15.5 ± 2.31,14.68 ± 3.03,0.39???
IQ,120.19 ± 9.43,120.70 ± 13.8,0.90???,113.25 ± 9.54,116.79 ± 9.30,0.29???,116.25 ± 10.02,118.43 ± 11.30,0.43???
