Clusters,"Cluster (x, y, z)",Cluster size,p-FDR,Regions
Cluster 1,[+40 +04 +12],145 voxels,0.010685,R Ant Insular Cortex
,,,,R Planum Polare
Cluster 2,[+40 −02 −10],170 voxels,0.011217,R Central Opercular Cortex
,,,,R Pos Insular Cortex
,,,,R Frontal Operculum Cortex
