Unnamed: 0,Unnamed: 1,VPT,FT
Sample size,n,31,23
Age (years),Mean ± SD,4.2 ± 0.2,4.5 ± 0.4
Sex,M:F,12:19,13:10
Gestational age (weeks),Mean ± SD,28.3 ± 1.7,40 ± 1.5
Excluded volumes (out of 120),Mean ± SD,1.61 ± 4.51,1.52 ± 2.71
Mean maximum displacement in head motions,Mean ± SD,0.25 ± 0.31,0.29 ± 0.20
,,,
