Unnamed: 0,Vis (%),SM (%),dAtt (%),vAtt (%),Lim (%),FP (%),DMN (%)
aHPSF,90.7,87.1%,63.8,60.2,52.8,73.4,70.0
fHPSF,94.9,85.5,56.5,53.8,50.1,57.8,71.2
