Cluster,Region,Voxels,Cluster size,x,y,z,p,t
1,Right precentral gyrusRight supplementary motor cortexLeft supplementary motor cortexRight superior frontal gyrus,22314111771,830,8,−8,66,0.0209,−4.79
2,Right thalamusLeft thalamusRight caudateAnterior cingulate gyrus,2601261813,731,4,6,22,0.0229,−4.71
3,Vermis (lobule 6)Left cerebellum crus 6Right lingual gyrusVermis (lobule 4 5),2011328783,672,2,−54,−18,0.0249,−4.96
