Cluster,Region,Voxels,Cluster size,x,y,z,p,t
Older > young,Older > young,,,,,,,
1,Posterior cingulate gyrusPrecuneous,322149.0,649.0,−8,−34,28,0.0491,−4.33
2,Right temporal poleRight frontal orbital cortexRight parahippocampal gyrusRight amygdala,308178204.0,611.0,34,22,−26,0.0491,3.92
